"cell_line"	"treatment"	"replicate"	"concentration"	"cell_count"	"cell_count__ctrl"	"cell_count__time0"	"control_treatment"	"normalized"	"run"	"log10_concentration"	"GRvalue"	"rel_cell_count"	"ctrl_cell_doublings"	"experiment"	"GRvalue_adj"
"HUB-02-B2-084"	"5-FU_Oxaliplatin5"	"1"	2700	1096	282716	110092	"PBS"	"-0.05832768314744471"	"1"	3.43136376415899	-0.966218567099247	0.0038766818998571	1.36064389609707	"HUB-02-B2-084 5-FU_Oxaliplatin5 1"	0.0337814329007533
"HUB-02-B2-084"	"5-FU_Oxaliplatin5"	"1"	675	4545	282716	110092	"PBS"	"1.167086606246688"	"1"	2.82930377283102	-0.903911490700635	0.016076203681433	1.36064389609707	"HUB-02-B2-084 5-FU_Oxaliplatin5 1"	0.0960885092993651
"HUB-02-B2-084"	"5-FU_Oxaliplatin5"	"1"	168.75	52828	282716	110092	"PBS"	"18.32182077116896"	"1"	2.22724378150306	-0.417049270207144	0.18685889726793	1.36064389609707	"HUB-02-B2-084 5-FU_Oxaliplatin5 1"	0.582950729792856
"HUB-02-B2-084"	"5-FU_Oxaliplatin5"	"1"	42.19	163220	282716	110092	"PBS"	"57.54360512454589"	"1"	1.62520952538188	0.335637907299574	0.577328485122879	1.36064389609707	"HUB-02-B2-084 5-FU_Oxaliplatin5 1"	1.33563790729957
"HUB-02-B2-084"	"5-FU_Oxaliplatin5"	"1"	10.55	281202	282716	110092	"PBS"	"99.46208256476001"	"1"	1.02325245963371	0.992122837295457	0.994644802558044	1.36064389609707	"HUB-02-B2-084 5-FU_Oxaliplatin5 1"	1.99212283729546
"HUB-02-B2-084"	"5-FU_Oxaliplatin5"	"1"	2.64	302806	282716	110092	"PBS"	"107.1378872351198"	"1"	0.421603926869831	1.10349626654506	1.07106071110231	1.36064389609707	"HUB-02-B2-084 5-FU_Oxaliplatin5 1"	2.10349626654506
"HUB-02-B2-084"	"5-FU_Oxaliplatin5"	"1"	0.66	244332	282716	110092	"PBS"	"86.3623363049857"	"1"	-0.180456064458131	0.796620828203128	0.864231242660479	1.36064389609707	"HUB-02-B2-084 5-FU_Oxaliplatin5 1"	1.79662082820313
"HUB-02-B2-084"	"5-FU_Oxaliplatin5"	"1"	0.1610533361122	325043	282716	110092	"PBS"	"115.0385939771486"	"1"	-0.79303027463123	1.21595378806915	1.14971561567085	1.36064389609707	"HUB-02-B2-084 5-FU_Oxaliplatin5 1"	2.21595378806915
"HUB-02-B2-084"	"5-FU_Oxaliplatin5"	"1"	0.04013145102188	257516	282716	110092	"PBS"	"91.0465525970623"	"1"	-1.39651513731568	0.867371576548035	0.910864613251461	1.36064389609707	"HUB-02-B2-084 5-FU_Oxaliplatin5 1"	1.86737157654803
"HUB-02-B2-084"	"5-FU_Oxaliplatin5"	"1"	0.01	284744	282716	110092	"PBS"	"100.7205393386174"	"1"	-2	1.01053395033846	1.00717327636214	1.36064389609707	"HUB-02-B2-084 5-FU_Oxaliplatin5 1"	2.01053395033846
